ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
2428,K015,2.191.252,41.404.602,NITBUS -N7--,el Parc i la Llacuna del Poblenou
2429,K015,220.458,4.140.794,NITBUS -N7--,Provençals del Poblenou
2430,K014,2.198.337,41.406.388,BUS -7--,Provençals del Poblenou
2431,K015,2.179.428,41.404.719,NITBUS -N9--,la Sagrada Família
2432,K015,2.166.907,41.415.195,NITBUS -N6--,el Baix Guinardó
2433,K015,2.178.567,41.376.726,NITBUS -N0-N6--,el Barri Gòtic
2434,K015,2.181.501,41.380.485,NITBUS -N0-N6--,el Barri Gòtic
2435,K014,2.178.468,41.376.731,BUS -59-D20-H14-V13--,el Barri Gòtic
2436,K014,2.137.685,41.410.384,BUS -131-H4--,el Putxet i el Farró
2437,K014,2.114.389,41.401.867,BUS -130-H2--,Sarrià
2438,K014,2.143.002,41.354.427,BUS -23-109-V3-H16--,la Marina del Prat Vermell
2439,K014,2.157.114,41.378.242,BUS -141--,Sant Antoni
2440,K014,2.155.538,41.380.151,BUS -H12-52--,la Nova Esquerra de l'Eixample
2441,K014,2.154.829,41.440.508,BUS -102-V25--,Horta
2442,K014,2.150.451,41.360.001,BUS -13-125--,el Poble-sec
2443,K014,2.166.816,41.371.815,BUS -121--,el Poble-sec
2444,K014,2.179.827,41.425.752,BUS -V27--,el Congrés i els Indians
2445,K014,2.155.286,41.431.377,BUS -102-V25--,Horta
2446,K014,2.180.705,41.456.203,BUS -180--,Torre Baró
2447,K014,2.182.103,41.456.329,BUS -180--,Torre Baró
2448,K014,217.424,41.430.402,BUS -182--,el Turó de la Peira
2449,K014,2.133.911,41.398.929,BUS -H6--,Sant Gervasi - Galvany
2450,K014,2.193.445,41.431.334,BUS -11-126-133--,Sant Andreu
2451,K014,2.201.121,4.139.772,BUS -6-V25--,el Poblenou
2452,K014,2.126.316,41.396.514,BUS -V7--,les Tres Torres
2453,K014,2.127.529,41.394.555,BUS -V7--,les Tres Torres
2454,K014,2.143.885,41.358.432,BUS -23--,la Marina de Port
