NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
RENFE,2.249093,41.445856,RENFE - BADALONA-,,158
RENFE,2.187908,41.409832,RENFE - CLOT-,el Clot,159
RENFE,2.189397,41.410259,RENFE - CLOT-,el Clot,160
Metro i línies urbanes FGC,2.09941,41.371491,Can Vidalet (Hortènsia)-,,161
Metro i línies urbanes FGC,2.106899,41.373518,Pubilla Cases (Esteve Grau)-,,162
Metro i línies urbanes FGC,2.128663,41.375646,Badal (Carrer de Sants)-,Sants - Badal,163
Metro i línies urbanes FGC,2.135098,41.375678,Plaça de Sants (Plaça de Sants)-,Sants,164
Metro i línies urbanes FGC,2.17719,41.424501,Maragall (Ramon Albó)-,el Congrés i els Indians,165
Metro i línies urbanes FGC,2.111546,41.38417,Zona Universitària (Avinguda Diagonal)-,la Maternitat i Sant Ramon,166
Metro i línies urbanes FGC,2.117983,41.386156,Palau Reial (Palau de Pedralbes)-,Pedralbes,167
Metro i línies urbanes FGC,2.135654,41.38214,Plaça del Centre (Plaça del Centre (muntanya))-,les Corts,168
Metro i línies urbanes FGC,2.142006,41.38111,Sants Estació (Av. Josep Tarradellas)-,Sants,169
Metro i línies urbanes FGC,2.172495,41.382048,Liceu (La Rambla / Mercat de la Boqueria)-,el Raval,170
Metro i línies urbanes FGC,2.16431,41.385843,METRO (L1) - Universitat-,Sant Antoni,171
Metro i línies urbanes FGC,2.144579,41.41181,Vallcarca (Gomis)-,Vallcarca i els Penitents,172
Metro i línies urbanes FGC,2.167841,41.374856,Paral·lel (Fontrodona)-,el Poble-sec,173
Metro i línies urbanes FGC,2.179651,41.400516,Monumental (Marina / Plaça de Toros)-,el Fort Pienc,174
Metro i línies urbanes FGC,2.182157,41.407093,Encants (València / Mallorca)-,el Camp de l'Arpa del Clot,175
Metro i línies urbanes FGC,2.128644,41.368844,METRO (L1) - Santa Eulàlia-,,176
Metro i línies urbanes FGC,2.168086,41.400393,METRO (L4) - Verdaguer-,la Dreta de l'Eixample,177
Metro i línies urbanes FGC,2.144991,41.343005,METRO (L10S) - Zona Franca-,la Marina del Prat Vermell,178
Metro i línies urbanes FGC,2.125817,41.387844,METRO (L3) - Maria Cristina-,la Maternitat i Sant Ramon,179
Metro i línies urbanes FGC,2.184122,41.449528,METRO (L3) - Trinitat Nova-,la Trinitat Nova,180
Tramvia,2.213571,41.417238,"TRAMVIA (T5, T6) - ALFONS EL MAGNÀNIM-",el Besòs i el Maresme,181
Tramvia,2.217564,41.41938,"TRAMVIA (T5, T6) - PARC DEL BESÓS-",,182
